student_id,first_name,last_name,dob,gender
1,Shariq,Baig,1/14/2000,Male
2,Sadaf,Khan,1/17/2002,Female
3,Fahad,Sultan,1/21/2004,Male
4,Yaqoob,Khan,1/24/2006,Male
5,,Anjum,1/28/2008,Male
6,Faisal,,1/31/2010,Male
7,Babar,Azam,,Male
8,Taimoor,Mirza,2/7/2014,
9,Khaild,Usama,2/11/2016,Male
10,Danish,Ali,2/14/2018,Male
11,,Baig,1/14/2000,Male
12,Danish,,2/14/2018,Male
13,Fahad,Sultan,1/21/2004,Male
14,,,1/24/2006,Male
15,Sadaf,Khan,1/17/2002,Female
16,Shariq,,,Male
17,Yaqoob,Khan,1/24/2006,Male
18,Fahad,Sultan,1/21/2004,Male
19,Yaqoob,,1/24/2006,
20,Taimoor,Mirza,2/7/2014,
21,Khaild,Usama,2/11/2016,Male
22,Faisal,,1/31/2010,Male
23,Babar,Azam,,Male
24,Fahad,Sultan,1/21/2004,Male
25,Yaqoob,Khan,,Male
26,Danish,Ali,,Male
27,,Anjum,1/28/2008,Male
28,Faisal,,1/31/2010,
29,,Azam,,Male
30,Yaqoob,,1/24/2006,Male
31,Taimoor,Mirza,2/7/2014,
32,,Ali,,Male
33,,Ali,2/14/2018,Male
34,,Azam,,Male
35,Shariq,Baig,,
36,,,2/14/2018,Male
37,Yaqoob,Khan,1/24/2006,Male
38,,Usama,2/11/2016,Male
39,Faisal,,1/31/2010,Male
40,,Anjum,1/28/2008,Male
41,Sadaf,Khan,1/17/2002,Female
42,Sadaf,,,Female
43,Taimoor,,,
44,,,1/24/2006,Male
45,,Anjum,1/28/2008,Male
46,,Anjum,,Male
47,Danish,Ali,2/14/2018,Male
48,,Mirza,2/7/2014,
49,Faisal,,1/31/2010,Male
50,Shariq,Baig,1/14/2000,Male
